PID,ArrivalTime,BurstTime,Priority
772,85,20,5
773,53,9,4
774,23,18,8
775,64,7,10
776,95,16,6
777,85,4,9
778,86,17,1
779,46,15,2
780,28,9,9
781,10,6,2
782,63,6,9
783,57,15,5
784,17,18,5
785,63,19,2
786,37,20,6
787,39,15,10
788,93,6,3
789,89,7,7
790,25,16,3
791,75,8,4
792,74,18,10
793,32,12,1
794,82,7,6
795,79,18,9
796,27,16,1
797,0,7,8
798,56,18,6
799,56,3,9
800,50,10,8
801,7,14,4
802,9,2,5
803,53,3,4
804,94,1,5
805,78,18,2
806,43,20,5
807,35,6,9
808,59,20,9
809,10,17,10
810,62,18,7
811,65,16,3
812,46,16,10
813,72,15,1
814,34,16,10
815,88,6,5
816,49,20,2
817,66,19,4
818,0,18,6
819,82,11,2
820,60,19,7
821,91,1,5
822,68,3,2
823,75,12,2
824,21,11,8
825,16,13,5
826,94,5,8
827,68,6,3
828,98,8,8
829,36,11,7
830,28,1,9
831,92,8,2
832,68,17,4
833,87,7,2
834,35,17,4
835,4,15,2
836,90,15,1
837,31,20,9
838,45,2,6
839,2,4,10
840,99,14,6
841,39,20,4
842,28,7,9
843,32,8,5
844,14,17,10
845,70,19,2
846,21,20,2
847,82,7,4
848,92,18,1
849,71,2,10
850,28,10,10
851,15,19,8
852,57,4,6
853,29,4,9
854,59,20,10
855,50,6,6
856,36,13,1
857,80,10,5
858,19,19,6
859,31,9,9
860,44,8,1
861,52,15,3
862,64,8,10
863,40,4,8
864,78,2,7
865,40,6,2
866,12,10,3
867,60,16,6
868,39,20,3
869,4,15,7
870,60,20,7
871,1,5,4
872,22,13,8
873,24,20,10
874,72,14,4
875,23,7,6
876,96,10,7
877,91,8,6
878,67,16,10
879,75,7,9
880,83,5,3
881,86,3,8
882,73,17,8
883,49,18,6
884,95,20,5
885,34,20,2
886,100,15,3
887,83,13,5
888,64,9,4
889,32,14,5
890,7,8,10
891,68,5,6
892,97,3,7
893,59,12,3
894,65,1,9
895,56,5,8
896,91,10,5
897,91,2,9
898,38,3,3
899,76,9,7
900,59,18,9
901,96,10,5
902,52,20,6
903,6,12,6
904,32,4,8
905,4,17,9
906,19,19,10
907,78,9,5
908,30,8,5
909,34,19,1
910,9,2,2
911,23,20,6
912,21,2,5
913,89,12,3
914,62,20,3
915,44,15,5
916,73,10,7
917,12,10,5
918,37,4,2
919,95,4,6
920,6,11,3
921,73,2,1
922,17,2,7
923,81,11,7
924,63,9,2
925,94,8,9
926,80,2,8
927,88,1,2
928,62,14,8
929,63,3,8
930,56,6,7
931,67,20,3
932,92,12,1
933,83,7,10
934,76,16,1
935,56,19,4
936,42,6,3
937,98,19,6
938,16,12,2
939,94,18,5
940,92,18,4
941,61,16,1
942,43,18,9
943,90,20,5
944,69,12,4
945,49,17,4
946,10,19,10
947,0,5,5
948,68,19,7
949,76,4,7
950,41,12,4
951,76,15,7
952,72,19,6
953,8,10,6
954,58,14,6
955,21,7,5
956,16,17,7
957,66,20,8
958,13,10,3
959,43,2,5
960,23,3,10
961,27,19,10
962,84,20,1
963,95,8,8
964,14,13,2
965,5,5,2
966,2,4,8
967,43,8,2
968,22,7,5
969,36,11,4
970,100,17,4
971,97,3,1
972,37,12,5
973,99,20,4
974,77,18,8
975,16,16,9
976,59,9,8
977,51,13,6
978,45,17,1
979,22,16,9
980,10,15,3
981,49,9,6
982,26,1,9
983,35,8,4
984,63,20,9
985,52,2,2
986,42,1,10
987,31,11,8
988,35,14,2
989,0,6,6
990,3,5,9
991,52,16,5
992,69,16,2
993,50,6,8
994,25,17,8
995,90,10,4
996,13,10,8
997,77,1,9
998,85,4,3
999,62,8,2
1000,63,1,6
